prefecture-level city,Prefecture level city code,year,Local general public budget expenditures_Ten thousand yuan_Citywide,science and technology expenditure_Ten thousand yuan_Citywide,Scientific and technological level
Tongliao City,150500,2012,2555593,15192,0.00594461
Tongliao City,150500,2013,2983200,21200,0.00710646
Tongliao City,150500,2014,3182044,16102,0.00506027
Tongliao City,150500,2015,3632000,19700,0.00542401
Tongliao City,150500,2016,3580764,13200,0.00368636
Tongliao City,150500,2017,3169892,13238,0.00417617
Tongliao City,150500,2018,3753581,11453,0.00305122
Tongliao City,150500,2019,3793068,12769,0.0033664
Tongliao City,150500,2020,3859644,10344,0.00268004
Tongliao City,150500,2021,3763465,15050,0.00399897
Ordos City,150600,2003,332584,826,0.00248358
Ordos City,150600,2004,470364,1154,0.00245342
Ordos City,150600,2005,640179,1575,0.00246025
Ordos City,150600,2006,792445,1718,0.00216797
Ordos City,150600,2007,1181999,11335,0.00958969
Ordos City,150600,2008,1676779,16431,0.00979914
Ordos City,150600,2009,2316345,32606,0.01407649
Ordos City,150600,2010,3187910,28551,0.00895602
Ordos City,150600,2011,4466232,70905,0.0158758
Ordos City,150600,2012,4832535,47928,0.00991778
Ordos City,150600,2013,5186990,39883,0.00768905
Ordos City,150600,2014,5417523,23481,0.00433427
Ordos City,150600,2015,5783920,37109,0.00641589
Ordos City,150600,2016,5616384,20642,0.00367532
Ordos City,150600,2017,4733742,23874,0.00504337
Ordos City,150600,2018,5864781,34890,0.00594907
Ordos City,150600,2019,6266762,49245,0.00785813
Ordos City,150600,2020,6636807,70864,0.01067742
Ordos City,150600,2021,7296491,81716,0.01119936
Hulunbeir,150700,2004,481172,965,0.00200552
Hulunbeir,150700,2005,566842,917,0.00161773
Hulunbeir,150700,2006,716170,1192,0.00166441
Hulunbeir,150700,2007,962616,8131,0.00844677
Hulunbeir,150700,2008,1360215,12930,0.00950585
Hulunbeir,150700,2009,1805773,15631,0.00865613
Hulunbeir,150700,2010,2079197,15864,0.00762987
Hulunbeir,150700,2011,2549257,20269,0.00795094
Hulunbeir,150700,2012,2944411,24046,0.00816666
Hulunbeir,150700,2013,3140161,31339,0.00998006
Hulunbeir,150700,2014,3485100,35378,0.01015122
Hulunbeir,150700,2015,3745392,39814,0.01063013
Hulunbeir,150700,2016,4127288,34328,0.00831733
Hulunbeir,150700,2017,4350520,18871,0.00433764
Hulunbeir,150700,2018,4493423,15352,0.00341655
Hulunbeir,150700,2019,4598012,13596,0.00295693
Hulunbeir,150700,2020,4676200,12588,0.00269193
Hulunbeir,150700,2021,4249459,11756,0.00276647
Hailar District,150702,2003,405890,1023,0.00252039
Bayannur City,150800,2003,245720,1510,0.00614521
Bayannur City,150800,2004,288054,1653,0.00573851
Bayannur City,150800,2005,342576,1703,0.00497116
Bayannur City,150800,2006,450770,1992,0.00441911
Bayannur City,150800,2007,597355,3163,0.00529501
Bayannur City,150800,2008,804618,4326,0.00537646
Bayannur City,150800,2009,1054775,3726,0.00353251
Bayannur City,150800,2010,1235282,8524,0.00690045
Bayannur City,150800,2011,1546565,6460,0.004177
Bayannur City,150800,2012,1828092,7116,0.00389258
Bayannur City,150800,2013,1922926,9305,0.00483898
Bayannur City,150800,2014,1938012,6018,0.00310524
Bayannur City,150800,2015,2294897,6902,0.00300754
Bayannur City,150800,2016,2358775,8585,0.0036396
Bayannur City,150800,2017,2464211,7707,0.00312757
Bayannur City,150800,2018,2667068,6865,0.00257399
Bayannur City,150800,2019,3053865,6329,0.00207246
Bayannur City,150800,2020,3061615,13160,0.00429839
Bayannur City,150800,2021,2690273,15272,0.00567675
Wulanchabu,150900,2003,298575,702,0.00235117
Wulanchabu,150900,2004,424311,829,0.00195376
Wulanchabu,150900,2005,443615,888,0.00200174
Wulanchabu,150900,2006,488618,942,0.00192789
Wulanchabu,150900,2007,682985,4103,0.00600745
Wulanchabu,150900,2008,905169,6650,0.00734669
Wulanchabu,150900,2009,1139854,5539,0.00485939
Wulanchabu,150900,2010,1400285,5589,0.00399133
Wulanchabu,150900,2011,1863639,7601,0.00407858
Wulanchabu,150900,2012,2337185,5657,0.00242043
Wulanchabu,150900,2013,2512916,10230,0.00407097
Wulanchabu,150900,2014,2971938,14170,0.00476793
Wulanchabu,150900,2015,3184005,8072,0.00253517
Wulanchabu,150900,2016,3031272,6565,0.00216576
Wulanchabu,150900,2017,3181106,7579,0.0023825
Wulanchabu,150900,2018,3498104,7360,0.002104
Wulanchabu,150900,2019,3712074,5927,0.00159668
Wulanchabu,150900,2020,3876342,6434,0.00165981
Wulanchabu,150900,2021,3779582,12190,0.00322522
Shenyang City,210100,2003,1397434,7955,0.00569258
Shenyang City,210100,2004,1717058,9044,0.00526715
Shenyang City,210100,2005,2170495,10759,0.00495693
Shenyang City,210100,2006,2687649,12037,0.00447864
Shenyang City,210100,2007,3396754,99395,0.02926176
Shenyang City,210100,2008,4067372,125526,0.0308617
Shenyang City,210100,2009,4758822,136292,0.02863986
Shenyang City,210100,2010,5166242,153492,0.02971057
Shenyang City,210100,2011,6392904,203333,0.03180605
Shenyang City,210100,2012,7660854,246407,0.03216443
Shenyang City,210100,2013,8812817,277931,0.03153714
Shenyang City,210100,2014,9143712,265649,0.02905264
Shenyang City,210100,2015,8085751,234542,0.02900683
Shenyang City,210100,2016,8253935,223880,0.02712403
Shenyang City,210100,2017,8550151,161669,0.01890832
Shenyang City,210100,2018,9654417,181126,0.01876095
Shenyang City,210100,2019,10476460,199013,0.01899621
Shenyang City,210100,2020,10740503,225712,0.02101503
Shenyang City,210100,2021,10323095,234322,0.02269881
Dalian City,210200,2003,1473857,3860,0.00261898
Dalian City,210200,2004,1703078,4437,0.00260528
Dalian City,210200,2005,2077009,5797,0.00279103
Dalian City,210200,2006,2665249,5281,0.00198143
Dalian City,210200,2007,3445728,118943,0.03451898
Dalian City,210200,2008,4100013,146311,0.0356855
Dalian City,210200,2009,4711648,185188,0.03930429
Dalian City,210200,2010,6114743,266033,0.04350682
Dalian City,210200,2011,7349406,331652,0.04512637
Dalian City,210200,2012,8909590,392872,0.04409541
Dalian City,210200,2013,10835360,462566,0.04269041
Dalian City,210200,2014,9894552,430258,0.04348433
Dalian City,210200,2015,9106922,182829,0.02007583
Dalian City,210200,2016,8702783,205481,0.02361095
Dalian City,210200,2017,9198403,121861,0.01324806
Dalian City,210200,2018,10014898,356622,0.03560915
Dalian City,210200,2019,10162849,274946,0.02705403
Dalian City,210200,2020,10019838,230244,0.02297881
Dalian City,210200,2021,9800549,212689,0.02170174
Anshan City,210300,2003,482054,1337,0.00277355
Anshan City,210300,2004,639967,1404,0.00219386
Anshan City,210300,2005,831449,1285,0.00154549
Anshan City,210300,2006,907789,1359,0.00149704
Anshan City,210300,2007,1208914,14731,0.01218532
Anshan City,210300,2008,1564864,15135,0.00967177
Anshan City,210300,2009,1778665,15862,0.00891792
Anshan City,210300,2010,2019010,19615,0.00971516
Anshan City,210300,2011,2320676,20051,0.00864015
Anshan City,210300,2012,2902652,24548,0.00845709
Anshan City,210300,2013,3253879,25441,0.00781867
Anshan City,210300,2014,3254078,44872,0.01378947
Anshan City,210300,2015,2444766,23040,0.00942421
Anshan City,210300,2016,2499227,11573,0.00463063
Anshan City,210300,2017,2738412,15463,0.0056467
Anshan City,210300,2018,2773957,9300,0.00335261
Anshan City,210300,2019,3269833,12357,0.00377909
Anshan City,210300,2020,3480341,11788,0.00338702
Anshan City,210300,2021,2911314,6619,0.00227354
Fushun City,210400,2003,319132,1345,0.00421456
Fushun City,210400,2004,394278,1398,0.00354572
Fushun City,210400,2005,508366,1599,0.00314537
Fushun City,210400,2006,608234,2002,0.0032915
Fushun City,210400,2007,745803,6065,0.00813217
Fushun City,210400,2008,881129,7989,0.00906678
Fushun City,210400,2009,1181225,7599,0.00643315
Fushun City,210400,2010,1502536,11547,0.00768501
Fushun City,210400,2011,1653299,15848,0.00958568
Fushun City,210400,2012,2002015,25483,0.01272868
Fushun City,210400,2013,2289177,26890,0.01174658
Fushun City,210400,2014,2235027,26845,0.01201104
Fushun City,210400,2015,1677499,15075,0.00898659
Fushun City,210400,2016,1751798,4272,0.00243864
Fushun City,210400,2017,1823227,2514,0.00137887
Fushun City,210400,2018,2096170,3868,0.00184527
Fushun City,210400,2019,2081401,2917,0.00140146
Fushun City,210400,2020,2050813,4774,0.00232786
Fushun City,210400,2021,1641310,3882,0.00236518
Benxi City,210500,2003,309653,823,0.00265781
Benxi City,210500,2004,328273,959,0.00292135
Benxi City,210500,2005,411515,1104,0.00268277
Benxi City,210500,2006,510931,1279,0.00250327
Benxi City,210500,2007,632344,6128,0.00969093
Benxi City,210500,2008,758951,8070,0.0106331
Benxi City,210500,2009,966118,9399,0.00972863
Benxi City,210500,2010,1164764,11413,0.00979855
Benxi City,210500,2011,1396448,21555,0.01543559
Benxi City,210500,2012,1755681,23826,0.0135708
Benxi City,210500,2013,1823992,28830,0.01580599
Benxi City,210500,2014,1854923,30196,0.01627884
Benxi City,210500,2015,1322787,12273,0.00927814
Benxi City,210500,2016,1376437,5920,0.00430096
Benxi City,210500,2017,1356115,4933,0.0036376
Benxi City,210500,2018,1514621,2700,0.00178262
Benxi City,210500,2019,1648167,2242,0.0013603
Benxi City,210500,2020,1715273,1447,0.0008436
Benxi City,210500,2021,1326422,2498,0.00188326
Dandong City,210600,2003,287514,2150,0.0074779
Dandong City,210600,2004,310882,2435,0.00783255
Dandong City,210600,2005,388575,2994,0.00770508
Dandong City,210600,2006,475614,3106,0.00653051
Dandong City,210600,2007,603625,6156,0.01019838
Dandong City,210600,2008,795148,6786,0.00853426
Dandong City,210600,2009,1114247,7147,0.0064142
Dandong City,210600,2010,1346622,8668,0.00643685
Dandong City,210600,2011,1573292,12109,0.0076966
Dandong City,210600,2012,1969376,14020,0.00711901
Dandong City,210600,2013,2243175,21594,0.00962653
Dandong City,210600,2014,2058998,16876,0.00819622
Dandong City,210600,2015,2132196,14620,0.00685678
Dandong City,210600,2016,1870057,11081,0.00592549
Dandong City,210600,2017,2005855,9276,0.00462446
Dandong City,210600,2018,2160928,9632,0.00445734
Dandong City,210600,2019,2233460,3874,0.00173453
Dandong City,210600,2020,2453184,3478,0.00141775
Dandong City,210600,2021,1983961,2404,0.00121172
Jinzhou City,210700,2003,309787,1643,0.00530364
Jinzhou City,210700,2004,340217,1657,0.00487042
Jinzhou City,210700,2005,427397,1831,0.00428407
Jinzhou City,210700,2006,510299,1983,0.00388596
Jinzhou City,210700,2007,627427,5512,0.00878509
Jinzhou City,210700,2008,812106,8825,0.01086681
Jinzhou City,210700,2009,1114530,10545,0.00946139
Jinzhou City,210700,2010,1384452,12317,0.00889666
Jinzhou City,210700,2011,1573647,13347,0.00848157
Jinzhou City,210700,2012,2047132,24489,0.01196259
Jinzhou City,210700,2013,2242213,25658,0.01144316
Jinzhou City,210700,2014,2284708,25753,0.0112719
Jinzhou City,210700,2015,2095553,8827,0.00421225
Jinzhou City,210700,2016,2170940,9223,0.00424839
Jinzhou City,210700,2017,2375708,23899,0.01005974
Jinzhou City,210700,2018,2686027,14216,0.00529258
Jinzhou City,210700,2019,3609910,49387,0.01368095
Jinzhou City,210700,2020,3010316,9482,0.00314984
Jinzhou City,210700,2021,2144666,9958,0.00464315
Yingkou City,210800,2003,247194,647,0.00261738
Yingkou City,210800,2004,302423,760,0.00251304
Yingkou City,210800,2005,360198,765,0.00212383
Yingkou City,210800,2006,439147,869,0.00197884
Yingkou City,210800,2007,612601,2908,0.00474697
Yingkou City,210800,2008,772788,7000,0.00905811
Yingkou City,210800,2009,1063752,15069,0.0141659
Yingkou City,210800,2010,1372882,20125,0.01465894
Yingkou City,210800,2011,1831559,29962,0.01635874
Yingkou City,210800,2012,2210335,35089,0.01587497
Yingkou City,210800,2013,2477586,37897,0.01529594
Yingkou City,210800,2014,2196512,10696,0.00486954
Yingkou City,210800,2015,1720004,8490,0.00493604
Yingkou City,210800,2016,1978871,3707,0.00187329
Yingkou City,210800,2017,2167200,4868,0.00224622
Yingkou City,210800,2018,2277647,4201,0.00184445
Yingkou City,210800,2019,2544913,10941,0.00429916
Yingkou City,210800,2020,2687386,7691,0.00286189
Yingkou City,210800,2021,2556402,7867,0.00307737
Fuxin City,210900,2003,217991,551,0.00252763
Fuxin City,210900,2004,238108,569,0.00238967
Fuxin City,210900,2005,341720,471,0.00137832
Fuxin City,210900,2006,394927,513,0.00129897
Fuxin City,210900,2007,468033,1432,0.00305961
Fuxin City,210900,2008,516975,2600,0.00502926
Fuxin City,210900,2009,797723,2047,0.00256605
Fuxin City,210900,2010,882722,2136,0.00241979
Fuxin City,210900,2011,1283599,8796,0.00685261
Fuxin City,210900,2012,1453992,11967,0.00823044
Fuxin City,210900,2013,1720375,12707,0.00738618
Fuxin City,210900,2014,1752720,4332,0.00247159
Fuxin City,210900,2015,1299934,3969,0.00305323
Fuxin City,210900,2016,1379752,3076,0.00222939
Fuxin City,210900,2017,1457354,2806,0.00192541
Fuxin City,210900,2018,1590218,2007,0.00126209
Fuxin City,210900,2019,1781731,2695,0.00151257
Fuxin City,210900,2020,1889007,4435,0.00234779
Fuxin City,210900,2021,1425710,2944,0.00206494
Liaoyang City,211000,2003,223090,945,0.00423596
Liaoyang City,211000,2004,253993,902,0.00355128
Liaoyang City,211000,2005,346730,1000,0.00288409
Liaoyang City,211000,2006,384283,960,0.00249816
Liaoyang City,211000,2007,510159,4525,0.00886978
Liaoyang City,211000,2008,591895,6848,0.01156962
Liaoyang City,211000,2009,806803,12470,0.01545607
Liaoyang City,211000,2010,1000685,14625,0.01461499
Liaoyang City,211000,2011,1231030,18499,0.01502725
Liaoyang City,211000,2012,1373950,20250,0.01473853
Liaoyang City,211000,2013,1627540,20528,0.0126129
Liaoyang City,211000,2014,1640131,21674,0.0132148
Liaoyang City,211000,2015,1482810,9107,0.00614172
Liaoyang City,211000,2016,1425655,6044,0.00423945
Liaoyang City,211000,2017,1486519,4953,0.00333195
Liaoyang City,211000,2018,1594229,5622,0.00352647
Liaoyang City,211000,2019,1854741,5804,0.00312928
Liaoyang City,211000,2020,2011815,9102,0.00452427
Liaoyang City,211000,2021,1609106,9632,0.00598593
Panjin City,211100,2003,211740,556,0.00262586
Panjin City,211100,2004,248759,618,0.00248433
Panjin City,211100,2005,327052,759,0.00232073
Panjin City,211100,2006,401282,895,0.00223035
Panjin City,211100,2007,479725,4145,0.00864037
Panjin City,211100,2008,582878,4389,0.00752988
Panjin City,211100,2009,829837,7813,0.0094151
Panjin City,211100,2010,1096233,9665,0.00881656
Panjin City,211100,2011,1441252,14022,0.00972904
Panjin City,211100,2012,1821769,18520,0.01016594
Panjin City,211100,2013,1952589,21346,0.01093215
Panjin City,211100,2014,2041160,19896,0.0097474
Panjin City,211100,2015,1732799,11933,0.00688655
Panjin City,211100,2016,1831204,12559,0.00685833
Panjin City,211100,2017,1846166,9144,0.00495297
Panjin City,211100,2018,2055103,6528,0.00317648
Panjin City,211100,2019,2329156,5723,0.00245711
Panjin City,211100,2020,2441591,19797,0.00810824
Panjin City,211100,2021,1964266,18120,0.00922482
Tieling City,211200,2003,243273,1359,0.00558632
Tieling City,211200,2004,276092,1570,0.00568651
Tieling City,211200,2005,353327,1897,0.00536896
Tieling City,211200,2006,450553,2089,0.00463652
Tieling City,211200,2007,598022,6181,0.01033574
Tieling City,211200,2008,773945,10699,0.01382398
Tieling City,211200,2009,1097129,11787,0.0107435
Tieling City,211200,2010,1415835,18663,0.01318162
Tieling City,211200,2011,1678158,31322,0.01866451
Tieling City,211200,2012,2002912,37072,0.01850905
Tieling City,211200,2013,2195327,34341,0.01564277
Tieling City,211200,2014,2090819,28469,0.0136162
Tieling City,211200,2015,2083146,10511,0.00504573
Tieling City,211200,2016,2011336,8271,0.00411219
Tieling City,211200,2017,1896468,7941,0.00418726
Tieling City,211200,2018,2120024,7834,0.00369524
Tieling City,211200,2019,2272629,8899,0.00391573
Tieling City,211200,2020,2368979,9230,0.00389619
Tieling City,211200,2021,1952561,7093,0.00363266
Chaoyang City,211300,2003,269144,626,0.00232589
Chaoyang City,211300,2004,316319,586,0.00185256
Chaoyang City,211300,2005,392483,722,0.00183957
Chaoyang City,211300,2006,503992,1009,0.00200202
Chaoyang City,211300,2007,696882,6495,0.00932009
Chaoyang City,211300,2008,929204,8071,0.00868593
Chaoyang City,211300,2009,1214473,8427,0.00693881
Chaoyang City,211300,2010,1467537,9807,0.00668263
Chaoyang City,211300,2011,1733255,18075,0.01042836
Chaoyang City,211300,2012,2137193,21032,0.00984095
Chaoyang City,211300,2013,2290576,16567,0.00723268
Chaoyang City,211300,2014,2279700,17341,0.0076067
Chaoyang City,211300,2015,1940641,5144,0.00265067
Chaoyang City,211300,2016,2151690,3364,0.00156342
Chaoyang City,211300,2017,2344146,3797,0.00161978
Chaoyang City,211300,2018,2680958,4106,0.00153154
Chaoyang City,211300,2019,3005607,4025,0.00133916
Chaoyang City,211300,2020,3239159,4073,0.00125743
Chaoyang City,211300,2021,2807735,4571,0.001628
Huludao City,211400,2003,251846,478,0.00189799
Huludao City,211400,2004,293753,514,0.00174977
Huludao City,211400,2005,365890,491,0.00134193
Huludao City,211400,2006,552503,714,0.0012923
Huludao City,211400,2007,600367,2204,0.00367109
Huludao City,211400,2008,704771,4000,0.0056756
Huludao City,211400,2009,926136,5191,0.00560501
Huludao City,211400,2010,1094920,9411,0.00859515
Huludao City,211400,2011,1467945,16857,0.0114834
Huludao City,211400,2012,1667955,20550,0.01232048
Huludao City,211400,2013,1805623,23792,0.01317662
Huludao City,211400,2014,1674000,23000,0.01373955
Huludao City,211400,2015,1658146,6462,0.00389712
Huludao City,211400,2016,1867305,2631,0.00140898
Huludao City,211400,2017,1988768,2857,0.00143657
Huludao City,211400,2018,2381520,12405,0.00520886
Huludao City,211400,2019,2483790,3485,0.0014031
Huludao City,211400,2020,2537409,1442,0.0005683
Huludao City,211400,2021,2346696,3876,0.00165168
